Datetime,Open,High,Low,Close,Volume
2025-02-03 15:30:00+01:00,675.9099731445312,685.7619018554688,675.25,685.0549926757812,1735207
2025-02-03 15:35:00+01:00,685.375,694.5999145507812,684.1799926757812,692.6400146484375,853931
2025-02-03 15:40:00+01:00,692.6199951171875,697.5,691.8499755859375,696.030029296875,693941
2025-02-03 15:45:00+01:00,696.2349853515625,696.4500122070312,691.02001953125,693.8200073242188,457126
2025-02-03 15:50:00+01:00,695.135009765625,695.5449829101562,691.52001953125,695.0,536230
2025-02-03 15:55:00+01:00,695.0,695.7999877929688,692.0900268554688,693.9199829101562,447154
2025-02-03 16:00:00+01:00,693.7100219726562,693.719970703125,688.2600708007812,689.6849975585938,485765
2025-02-03 16:05:00+01:00,689.6920166015625,690.75,686.1599731445312,688.4876098632812,362174
2025-02-03 16:10:00+01:00,688.3099975585938,688.5499877929688,684.7100830078125,685.6199951171875,285010
2025-02-03 16:15:00+01:00,685.7449951171875,687.3800048828125,684.2999877929688,684.6461181640625,208569
2025-02-03 16:20:00+01:00,684.739990234375,692.4199829101562,683.5300903320312,691.3099975585938,406581
2025-02-03 16:25:00+01:00,691.3599853515625,692.969970703125,689.0599975585938,691.905029296875,322388
2025-02-03 16:30:00+01:00,691.9000244140625,694.169921875,690.4199829101562,692.5449829101562,318807
2025-02-03 16:35:00+01:00,692.7498779296875,694.4600219726562,692.0,693.6099853515625,255984
2025-02-03 16:40:00+01:00,693.6099853515625,696.3599853515625,693.360107421875,695.3300170898438,302203
2025-02-03 16:45:00+01:00,695.2069091796875,695.469970703125,693.719970703125,694.344970703125,223500
2025-02-03 16:50:00+01:00,694.344970703125,696.3656005859375,694.0,695.719970703125,224927
2025-02-03 16:55:00+01:00,695.6500244140625,698.5499877929688,695.489990234375,697.8099975585938,322449
2025-02-03 17:00:00+01:00,697.5811157226562,699.5972290039062,697.0,698.4124755859375,1639687
2025-02-03 17:05:00+01:00,698.1099853515625,698.1500244140625,694.6900024414062,696.530029296875,221144
2025-02-03 17:10:00+01:00,696.6799926757812,697.7399291992188,695.9099731445312,696.030029296875,89176
2025-02-03 17:15:00+01:00,697.6799926757812,699.1799926757812,697.3200073242188,698.72998046875,269850
